Voltage (V),Current (A),SoC (%)
45.31495511007524,3.8219863132392575,38.11914003411725
49.7269269120836,-20.483070208800868,38.119104645355094
42.97339739598914,-20.95413092435259,38.11929430341258
42.462212331246135,14.531566770837763,38.119488323143365
54.780967776518594,-12.904622047605908,38.119353771599194
52.23798390041942,9.917899681162453,38.11947325884037
46.05422818815299,0.4731400694830654,38.119381426435915
44.58396042444929,9.524729270727164,38.119377045509346
52.85468454785921,4.883979942660311,38.11928885357165
42.81365086543078,26.358407418661486,38.11924363153515
41.1320464822763,-5.765252343166935,38.1189995722072
44.62551728110153,8.331954640584584,38.11905295417334
40.539266677700574,10.245592592219289,38.118975806445185
52.76872137730266,-2.4993597959863294,38.11888093984711
47.246536443116156,18.534844349358664,38.118904082067445
47.58493870307453,24.967168426101566,38.11873246313829
52.11213395672427,18.077345597053444,38.11850128565286
46.590987453374055,-0.053236565917394785,38.11833390282326
52.3347009329683,-5.629042804124218,38.118334395754424
42.62281018634686,2.496989216057969,38.11838651652113
50.30601531442785,6.402001796312504,38.11836339625061
42.063279395928134,-5.6880920649013404,38.118304118456194
42.256002897564315,-29.30328122062309,38.118356785975315
40.02677787759109,7.666033632743321,38.11862811265328
46.46825433802372,-24.953460251033427,38.11855713086039
43.442670439157126,1.3633593695137165,38.11878818141827
43.45343409277886,23.475780164741124,38.118775557720404
51.79005314800116,19.466499349343046,38.118558189385546
42.42668741643998,14.138512985030445,38.1183779440212
44.91210228153926,9.960774832520642,38.11824703186393
42.365063485273765,-4.358031773488847,38.11815480246733
52.59044304676696,-3.9676084099739235,38.11819515461338
51.1032812578401,21.169760993500233,38.118231891728286
40.694019143163864,-24.092043722164213,38.11803587542279
53.37396464896524,3.6741212387778006,38.1182589499017
45.96466846983222,17.98030983278433,38.1182249302606
48.24105514949814,-21.574402600136118,38.1180584459103
53.234079641815654,-5.752816872999496,38.11825820889734
46.31979167250947,-8.44393545815544,38.11831147572023
53.48845049953772,3.9813475286010984,38.118389660307805
54.476746461800715,-23.728487015698015,38.118352795978836
45.15169169511527,22.148620578608394,38.118572504191945
41.64402165781589,-6.888154366219947,38.118367424371776
54.72861910019276,-17.7690498632114,38.11843120357887
43.279867034567886,-24.260733353292174,38.118595731818345
54.867914996385764,-14.827929112843934,38.11882036823828
40.78501512370156,-12.996458949601426,38.11895766387821
47.245180327734076,0.8484564372463588,38.11907800146108
53.04786138309447,17.413391706555586,38.119070145382956
45.04413654714206,9.81524516624112,38.11890891027456
45.540015845471224,-13.743225280559045,38.118818028374875
54.05704153159474,-11.526169985151405,38.11894528046081
51.7529389943861,23.31329890380819,38.119052004256964
41.04634487497797,-0.2684173692110221,38.11883614037823
49.69527911010335,-25.767183246791703,38.11883862572424
41.53896908075524,-18.287301895877327,38.1190772107543
51.26996660853641,-26.707758076895853,38.1192465376237
52.50052981320608,-10.281233917737755,38.11949383167997
43.491636814089716,6.502573965264844,38.11958902829032
40.11092392387431,-21.760912617832794,38.119528819272126
54.28996020915065,29.238222378310496,38.119730309203774
46.07501403530641,4.970417711382069,38.119459584922495
43.272444905653536,12.821672158112833,38.11941356253628
50.88845242615393,1.5514488225530059,38.11929484334963
50.71897725001967,-21.041138987213394,38.11928047808275
50.92380484388188,28.13844013313522,38.11947530344374
49.72694370704148,9.225569207507945,38.119214762331396
43.021906172866494,-4.874773207572325,38.11912934039429
42.57298526362245,-7.718098468503129,38.11917447718325
44.35701783255696,0.9989730309830023,38.11924594105796
54.057018977570586,1.5758662186067305,38.11923669130768
50.510885888784536,0.2231735142233333,38.1192220999538
41.61283800105596,28.07012943430916,38.11922003353237
54.01075087567535,13.176621646923124,38.118960124926495
51.10335018351393,2.239066416086395,38.118838119170505
45.01092152300626,-7.4589772511574814,38.11881738707406
42.19578947967283,8.089105816197588,38.118886451678236
40.46649451175827,-15.929831049653824,38.118811552550305
43.97841651418279,-18.897481053380695,38.11895905098595
46.56043623349361,6.257309543026452,38.11913402766237
52.74611598701275,-16.510732923287655,38.11907608961104
43.08574935859469,-26.863055954043183,38.119228966767736
52.307418471491765,25.359433200001178,38.11947769876731
51.65094544873149,7.505713512322103,38.11924288920065
53.51861201193739,-28.103687128360125,38.119173391853316
41.572552447996266,11.795354438627022,38.11943361117858
44.94940631908872,27.62186059387171,38.11932439493378
49.67844034333855,-12.65300452711977,38.119068636965316
45.43757162821215,21.592290566004053,38.11918579441464
53.371740768260466,19.92013226973684,38.11898586579829
40.37738553289437,0.4625917403113604,38.118801420129124
40.04039764409107,25.382153523608984,38.11879713687227
42.26795357783593,-14.488494340424932,38.11856211693223
41.99163875596896,-7.06675702334358,38.118696269657605
49.78945218082882,12.527204608622924,38.118761702593005
42.7750740284229,20.92302782961096,38.11864570995774
45.18985723475125,-14.675638486234938,38.11845197821857
51.872438507231976,7.8357440916988566,38.11858786376011
50.747148255852714,12.944952541273494,38.118515310574075
44.82327772002855,28.435474314022564,38.118395449902394
47.24318182012114,13.68290658067886,38.11813215847356
49.28206072889814,-6.088198520296363,38.118005464894104
42.797171535257576,-3.6155929598103924,38.11806183710262
46.541593436474834,29.672857931871576,38.118095314815214
51.87485190504134,-19.184626968326093,38.11782056613066
43.01106973659746,14.650965548605342,38.117998201565555
44.532303317271634,-17.120265481267204,38.11786254447714
44.228464660369404,-8.66922281152738,38.11802106545382
40.87007448943166,-1.3023839209424146,38.11810133603541
44.27643964622797,-2.5309918602591317,38.11811339514579
42.269412345558166,-18.519892818974157,38.11813683025561
52.84545912540102,9.746165269857407,38.11830831074467
53.14022768734523,0.9832319080227698,38.11821806847366
44.122460166918614,17.240932969106147,38.11820896447451
49.078432294018214,3.7324778074211977,38.11804932620628
54.583062461934325,-22.88199657867441,38.11801476622659
41.25226773057261,6.336207160649366,38.118226636565275
46.16128390034084,6.434106138183978,38.118167967980455
42.81500353941782,27.85186820485162,38.11810839292362
48.0012225359786,-12.594368146857178,38.117850505255056
